Recency,Frequency,Monetary
3413,13,53.8
3620,12,100.0
3500,8,70.3
3701,8,60.65
3406,21,204.96
4084,4,24.0
3577,15,182.94
3466,12,155.9
3464,9,48.75
3530,12,89.36
3399,13,89.8
3419,11,75.86
3467,19,186.75
3466,10,75.1
3618,7,71.4
3464,11,104.7
3469,11,75.49
3599,8,94.6
3763,2,73.5
3456,10,73.84
3431,8,53.4
3949,6,117.5
3563,17,182.0
3520,4,58.2
3511,6,42.62
3594,16,111.95
3605,9,129.7
3550,13,107.6
3669,2,16.35
3454,7,64.6
3507,16,96.46
3576,12,91.3
3974,9,83.05
3491,14,69.9
4087,2,10.8
3392,10,58.44
3394,19,214.2
3591,2,2.7
3412,11,48.1
3650,10,113.75
3453,6,35.75
3732,8,94.69
3444,4,25.4
3413,8,98.9
3567,4,16.7
3521,6,51.6
3451,6,23.8
3494,8,62.3
3618,14,124.6
3428,20,207.36
3442,26,267.5
3552,12,80.7
3448,9,43.9
3597,6,75.7
3429,6,58.2
3948,8,32.15
3428,8,38.9
3942,5,16.8
3494,14,149.1
3481,16,129.32
3719,4,8.1
3536,7,59.1
3425,14,225.4
3944,6,19.92
3541,8,112.3
3560,4,20.7
3510,10,90.45
3798,4,66.4
3838,3,17.1
3446,4,50.7
3405,12,109.8
3453,10,71.96
3419,11,80.3
3455,13,87.9
3487,14,50.9
3441,7,50.0
3490,6,89.1
3608,5,17.8
3619,16,138.6
3974,5,65.8
3705,7,102.7
3999,2,7.6
3515,7,31.74
3380,14,94.4
3516,21,193.82
3408,9,58.75
3768,2,9.3
3448,12,219.2
3460,20,104.31
3655,2,3.65
3491,20,149.79
3439,8,57.76
3533,2,15.3
3437,17,106.48
3426,24,267.62
3517,6,39.7
3671,10,88.3
3745,7,52.0
3564,10,73.7
3781,10,87.1
3442,10,40.25
3600,6,34.8
3468,20,129.38
3531,12,94.06
3646,12,93.9
3418,18,155.9
3418,11,53.3
3643,4,26.36
3525,11,74.65
3551,16,121.12
3720,8,68.5
3409,24,157.4
3598,3,34.6
3383,18,173.4
3707,2,22.4
3473,17,144.39
4033,2,30.62
3387,6,33.0
3426,11,73.6
3872,4,15.9
3419,11,67.56
3605,9,124.2
3454,12,85.16
3556,10,67.25
3752,13,179.64
3481,11,94.95
3477,9,24.64
3527,12,143.82
3769,7,48.4
3551,9,40.97
3435,19,209.06
3473,6,17.6
3497,6,53.3
3723,9,72.8
3565,8,66.7
3758,9,80.8
3578,8,81.0
3627,12,54.5
3454,16,133.25
3462,6,34.6
3487,20,157.52
3787,6,49.2
3472,19,118.76
3396,7,34.6
3404,10,54.4
3482,5,68.8
3542,8,83.05
3400,17,101.5
3605,9,35.2
3381,8,89.3
3486,2,24.0
3830,7,136.9
3452,11,49.1
3577,6,25.45
3418,15,118.51
3669,7,78.3
3524,12,113.5
3394,9,54.1
3653,5,31.1
3379,9,136.2
3953,4,29.1
3695,4,23.5
3677,9,86.6
3758,21,284.8
3407,20,184.44
3617,10,75.3
3447,9,36.5
3700,11,59.9
3561,19,222.36
3513,14,96.65
3455,4,10.45
3423,11,114.24
3853,5,112.6
3871,4,9.9
3422,8,38.2
3409,16,199.82
3562,16,97.6
3575,5,43.5
3506,10,108.9
3626,9,51.83
3396,7,14.77
3733,8,69.7
3922,4,30.55
3442,17,161.1
3522,6,100.6
3733,5,28.4
3426,4,22.56
3609,9,73.2
3434,6,64.06
3411,8,34.42
3416,18,153.6
3711,7,167.9
3398,13,57.5
3473,8,26.05
3779,4,34.8
3539,10,61.6
3538,16,142.1
3669,10,69.1
3607,14,96.6
3424,8,62.06
3392,11,171.46
3792,9,121.29
3598,16,107.75
